映寿滙康养服务中心,山东省滨州市高新区新五路558号,750张,2000-10000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
无棣县康教养老服务中心,山东省滨州市无棣县棣丰街道前丁村,20张,1000-2000,自理 半自理/半失能 ,可接收异地老人 ,请登陆后查看
惠民县颐养苑老年公寓,滨州市惠民县武定府路888号,200张,800-3000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
惠民县孙武街道办事处幸福家园老年公寓,山东省滨州市惠民县工业路157号,200张,800-2500,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市博兴县纯化镇敬老院,纯化镇,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市博兴县店子镇幸福院,店子镇沙旺,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市滨城区尚集乡福利一院,尚店乡尚店街,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市滨城区堡集镇福利院,堡集镇大王,170张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市滨城区里则镇敬老院,里则镇西南街,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市滨城区杜店镇敬老院,杜店镇南,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市滨城区东街道敬老院,渤海五路754号,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市滨城区尚集乡福利二院,尚店乡尚集,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市滨城区彭李街道敬老院,陈家村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市滨城区滨北镇福利院,滨北镇经二路3号,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市滨州地区社会福利院,小营镇,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市博兴县湖滨镇敬老院,湖滨镇东顺河,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市博兴县陈户镇福利院,陈户镇东寨,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市博兴县老年公寓,博兴县新城一路256500,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市惠民县李庄福利院,李庄,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市惠民县辛店乡敬老院,辛店乡第三堡,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市惠民县三堡敬老院,三堡,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市惠民县魏集敬老院,魏集,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市惠民县惠民镇敬老院,朱老虎村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市惠民县梁家敬老院,梁家,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市惠民县麻店敬老院,麻店,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市惠民县桑落墅镇幸福院,桑落墅镇桑南,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市社会福利院,"黄河二路557号,滨州市昌江谊路585号",200张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市无棣县泊头镇敬老院,泊头镇,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省滨州市无棣县柳堡乡敬老院,柳堡乡常南,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
