山东省新泰市亿鑫福乐源老年公寓,山东省新泰市龙廷镇龙蒙路北,217张,1200-3600,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人 ,请登陆后查看
泰安市岱岳区颐养服务中心,泰安市岱岳区东岳大街西段515号（常家庄社区）,288张,2000-6000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
泰安德赡养老服务有限公司,泰安市泰山区龙潭路82号,280张,2100-4300,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
泰安春晖养老服务有限公司,泰安市泰山区岱宗大街407号,180张,1500-3600,自理 半自理/半失能 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
肥城市山医康养中心,山东省肥城市济兖路012号民政局婚姻登记处北,200张,1500-6000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
东平县礼爱如家托老所,东平县第二高级中学南,80张,1200-2500,半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
友福老年公寓,山东省泰安市东平县康桥丹郡南,150张,1600-3000,自理 半自理/半失能 不能自理/失能卧床 特护 ,具备医保定点资格 ,请登陆后查看
泰安高新区颐博养老护养院,泰安高新区北集坡街道办事处南夏村,300张,2000-3000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省泰安市老年公寓,山东省泰安市环山路西首 0538 6869999（也可到红门路1号兰黛咖啡西餐厅咨询）,200张,1350-3500,自理 半自理/半失能 特护 ,可接收异地老人 ,暂无电话
新泰市青云老年公寓,新泰市青龙路中段，市体育馆西邻、公安局东侧188米,115张,500-2000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
泰安慈恩医养中心,山东省泰安市泰山区通天街65号（老县衙）,550张,1800-4000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
泰安长城老年护理院,泰安长城路南首（京沪高铁立交桥南1.8KM）,200张,2000-4000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
康年银龄颐养院,泰安市岱岳区满庄镇泰星大街165号,200张,1200-3500,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
泰安圣康医院,山东省泰安市岱岳区天平街道泰肥一级与金牛山交叉口东,200张,1500-8000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
肥城市秀康养护院,肥城市凤山大街199号东部名城北区东沿街,80张,2200-5000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
山东省泰安市新泰市老年公寓,菜园,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市新泰市放城镇敬老院,放城镇三小庄村,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市泰山区省庄镇敬老院,泰山区省庄镇前省庄村,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市泰山区社会福利院,迎暄大街60号,300张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市肥城市安站镇敬老院,安临站镇安临站村,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市肥城市王瓜店镇敬老院,王瓜店镇王东村,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市东平县新湖乡敬老院,新湖乡刘楼村,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市宁阳县磁窑镇敬老院,磁窑齐家庄,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市岱岳区徂徕镇敬老院,徂徕镇北上庄,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市东平县银山镇敬老院,银山镇前银山村,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市东平县旧县乡敬老院,旧县乡大吉城四村,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市东平县沙河站第二幸福院,沙河站镇前河涯村,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市东平县沙河站第一幸福院,沙河站镇沙北村,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市岱岳区祝阳镇敬老院,祝阳镇政府北4公里陈良,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
山东省泰安市新泰市小协镇幸福院,小协,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
