枣庄亲和源康养中心,枣庄市薛城区长白山路6号,600张,1500-7000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
金桂园康养中心,山东省枣庄市滕州市益康大道1199号（善南医院南邻）,600张,1480-3200,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
枣庄市市中区颐源医养服务中心,枣庄市市中区北外环颐源山庄,300张,1299-3500,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
墨子森林公园养老中心,滕州市木石镇鲁化生活区（原墨子宾馆）,202张,1000-3880,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
阳光老年公寓,薛城区阳光丽舍小区西门（常庄派出所北临）,100张,800-2300,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
枣庄甘泉护理院,枣庄市市中区甘泉路西侧，齐村镇凤凰岭村，渴口中学北2公里。,280张,1800-5000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
滕州善养居老年人照料中心,滕州解放中路银座佳驿酒店对过,60张,0-6000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
君福老年公寓,山东省枣庄市薛城区薛周公路西（新交通局北临）,100张,100-1800,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,暂无电话
枣庄康保老年公寓,山东省枣庄市薛城区长江路与永福路交界口向西50米路南,40张,800-2400,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
枣庄市市中区百福老年公寓,山东省枣庄市市中区解放南路86号,200张,100-1000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
滕州市金色老年乐园养老院,山东省滕州市后梁村前金色老年乐园,260张,1000-4000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
金馨老年公寓,薛城区长江大桥沿河西岸北50米,60张,800-1800,半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山亭区柏寿养老服务中心,山东省枣庄市山亭区西集镇镇政府北200米路东,60张,1000-2000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 候鸟旅居 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
长乐老年公寓,长乐路28号,100张,1000-2000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市峄城区社会福利院,峄山南路,200张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市社会福利院,枣庄市峄城区峄山南路3号,200张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市滕州市老年服务中心,滕州市龙泉中路1366号,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市滕州市姜屯镇福利院,姜屯镇,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市滕州市张汪镇大宗村敬老院,张汪镇大宗村,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市滕州市界河镇敬老院,界河镇南界河,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市滕州市木石镇福利院,木石镇木石一,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市滕州市柴胡店镇幸福院,柴胡店镇,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市滕州市洪绪镇福利院,洪绪镇后洪绪,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市山亭区西集镇敬老院,西集镇政府驻地,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市山亭区店子镇敬老院,店子镇政府驻地,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市山亭区冯卯镇敬老院,冯卯镇政府驻地,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市山亭区店子镇福利院,店子镇,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市山亭区北庄镇敬老院,北庄镇政府驻地,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市山亭区山城街道办事处敬老院,东山亭,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
山东省枣庄市山亭区山城街道敬老院,山城街道驻地,50张,500-1000,自理 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
