淄博市淄川梓橦山老年康乐中心,山东省淄博市淄川区梓橦山风景区向北100米,169张,1190-4500,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,4006065712
淄博临淄悦华金山养老院,淄博市临淄区十化建,88张,2000-4600,自理 半自理/半失能 不能自理/失能卧床 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,4006065712
鸿巢养护院,山东省淄博市桓台县黄山路357号,450张,3120-8000,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,4006065712
中科恒健海棠湾康养城,淄博市文化艺术四楼东南,600张,90-100,自理 ,可接收异地老人 ,请登陆后查看
清泉互助养老之家,淄博市淄川区寨里镇孤山村,10张,800-1600,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
博山区后峪社区老年日间照料中心,博山区后峪社区北首,50张,800-2000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
香叶幸福老人养护中心,淄博市张店区南西四路10号中源集团院内,50张,600-3000,半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
博山老年人养护院,山东省淄博市博山区经济开发区岜山村,720张,1900-9800,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
淄博张店区博爱养护院,淄博市张店区潘庄潘南小学南校区对过（潘庄文化广场旁）,322张,2000-4000,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
桓台县老年公寓,槐荫路982号（县宾馆东邻）,260张,1260-2060,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
高青县夕阳红老年公寓,高青县交警大队北邻,300张,1080-1880,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
桓台县颐年托养院,桓台县索镇镇河崖头村,100张,700-2400,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人 ,请登陆后查看
淄博宝华康复养生院,山东省淄博市周村北郊镇张坊村,200张,500-100,自理 半自理/半失能 ,可接收异地老人 ,请登陆后查看
淄博市新时代养老院,山东省淄博市张店区南定镇昌盛路33号,160张,500-1000,自理 半自理/半失能 特护 ,可接收异地老人 ,请登陆后查看
山东省沂源县老年康复养老中心（南麻镇逸静园养老中心）,沂源县古泉村,200张,1200-2400,自理 半自理/半失能 特护 ,可接收异地老人 ,请登陆后查看
淄博市淄川康寿老年公寓,淄川区龙泉麓村,100张,700-2400,自理 特护 ,可接收异地老人 ,请登陆后查看
山东省淄博市龟虽寿老年护理院,张店区新村西路71号（张店区中医院对过）,50张,900-1800,自理 半自理/半失能 特护 ,可接收异地老人 ,请登陆后查看
山东省淄博市桓台夕阳红老年公寓,山东省淄博市桓台县西苑小区13号,105张,890-1800,自理 半自理/半失能 ,可接收异地老人 ,请登陆后查看
淄博市老年福利中心,张店区金晶大道北首，济青高速淄博站出口北一公里淄博市社会福利院内。,500张,1695-4740,自理 半自理/半失能 特护 ,可接收异地老人 ,请登陆后查看
山东省淄博市龟虽寿超级养老院,山东省淄博市张店区原汽车总站南铁四村,50张,500-1000,自理 ,可接收异地老人 ,请登陆后查看
淄博市周村区保健养老护理服务中心,淄博市周村区周村保健养老护理服务中心,200张,980-1680,自理 半自理/半失能 ,可接收异地老人 ,暂无电话
博山区八陡镇幸福托老院,淄博市博山区八陡镇幸福托老院,50张,500-1000,自理 半自理/半失能 ,可接收异地老人 ,暂无电话
老来乐老年公寓 向阳花家园,张店区傅家镇大徐村,50张,600-900,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人 ,请登陆后查看
淄博市淄川区福康老年公寓,淄博市淄川区昆仑镇大岭生活区,200张,1100-2700,自理 半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
淄博高新区三玉老年公寓,淄博市高新区赵王璐东段路南,260张,1100-2900,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
淄博市凯达老年休养中心,山东省淄博市博山夏家庄路19号,200张,700-1500,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
善慈轩居家养老,山东省淄博市临淄区,20张,0-0,半自理/半失能 不能自理/失能卧床 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
淄川矿务局养老院,淄博市淄川区矿务局医院北,20张,1000-2000,自理 半自理/半失能 不能自理/失能卧床 特护 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
桓台县如家养老服务中心,桓台县张北路路东（原塑料十二厂院内）,80张,1380-2680,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
桓台县西镇养老服务中心,桓台县建设街2839号,216张,1480-2580,自理 半自理/半失能 不能自理/失能卧床 特护 认知障碍 病后康复 ,可接收异地老人                     具备医保定点资格 ,请登陆后查看
