价格,床位,收住人群,特色服务,评分
6750.0,200,6,4,5
3800.0,728,5,6,5
4920.0,256,4,6,5
9350.0,300,4,4,5
4500.0,1400,4,3,5
6000.0,180,4,3,4.5
2000.0,50,4,4,4.5
2900.0,200,4,5,4.5
2850.0,151,4,4,4.5
4050.0,1500,4,4,4.5
2780.0,600,4,3,4.5
1450.0,110,4,4,4.5
2500.0,352,4,1,4.5
750.0,50,4,4,4
1500.0,40,4,1,4
1350.0,18,4,4,4
1050.0,50,3,3,4
1900.0,120,3,4,4
1650.0,120,3,4,3.5
4300.0,220,3,3,3.5
2000.0,565,3,1,3.5
2900.0,400,1,4,3.5
2750.0,200,1,4,3.5
1150.0,60,1,4,3.5
2900.0,50,1,2,3.5
3250.0,1200,1,1,3
6500.0,200,1,4,3
6000.0,20,3,1,3
3450.0,30,2,1,3
